"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"9/15/2023 12 a.m. EDT",40823,23818,29795,33250,80669,75720,11636,42999,15523,26107,17057,16525,54030
US48,"9/15/2023 1 a.m. EDT",39320,22041,27946,30470,76986,71592,11255,40318,14588,24634,15694,15238,50611
US48,"9/15/2023 2 a.m. EDT",37224,20811,26670,28507,74026,68259,10826,37516,13928,23736,14174,14480,48219
US48,"9/15/2023 3 a.m. EDT",34449,20035,25789,27085,71974,66130,10489,35174,13479,22975,12970,13770,46330
US48,"9/15/2023 4 a.m. EDT",31775,19603,25247,26146,70853,64913,10326,33813,13226,22690,12058,13466,45444
US48,"9/15/2023 5 a.m. EDT",29978,19604,24992,25793,71013,64744,10432,32998,13256,22648,11520,13452,44609
US48,"9/15/2023 6 a.m. EDT",29097,20201,25068,26504,73620,65671,10794,32380,13853,23244,11068,13690,44794
US48,"9/15/2023 7 a.m. EDT",28556,21686,25786,27994,77990,68454,11719,32213,15078,24268,10911,14464,45864
US48,"9/15/2023 8 a.m. EDT",28206,22240,27371,28612,80819,72001,11995,32933,15849,24656,11045,15365,48034
US48,"9/15/2023 9 a.m. EDT",28143,22652,28331,30497,82116,74061,11774,34580,15920,24895,11646,15773,48935
US48,"9/15/2023 10 a.m. EDT",28807,23429,29023,33619,82437,75790,11589,36496,15694,25254,12148,16432,49896
US48,"9/15/2023 11 a.m. EDT",30487,24204,29863,36964,82855,77694,11259,38303,15498,25736,12172,17000,51829
US48,"9/15/2023 12 p.m. EDT",32083,25044,30947,40096,84092,80000,11160,39648,15542,26497,15776,18009,54037
US48,"9/15/2023 1 p.m. EDT",33178,25918,32053,42646,85403,82382,10805,40354,15575,27305,13108,18912,56475
US48,"9/15/2023 2 p.m. EDT",33573,26909,33106,44542,86887,84496,10806,41014,15726,28046,13996,19763,59076
US48,"9/15/2023 3 p.m. EDT",33381,27892,34106,45525,88470,86479,11006,41842,15964,28761,14850,20835,61556
US48,"9/15/2023 4 p.m. EDT",32710,28768,34869,45874,90728,87849,11872,42801,16303,29391,16071,21690,63299
US48,"9/15/2023 5 p.m. EDT",32553,29336,35247,45766,93054,88611,12785,43735,16746,29100,17199,22221,63563
US48,"9/15/2023 6 p.m. EDT",32361,29556,35354,45114,94367,89099,13506,44930,17262,30114,18160,22309,63032
US48,"9/15/2023 7 p.m. EDT",33731,28690,34847,43125,93142,88638,13602,45133,17469,29575,18623,21779,62830
US48,"9/15/2023 8 p.m. EDT",35915,27260,33813,41013,90633,86132,13690,46134,17511,28916,18983,20695,61709
US48,"9/15/2023 9 p.m. EDT",37667,26202,32840,39526,88467,84170,13239,46076,17044,28342,18965,20184,59572
US48,"9/15/2023 10 p.m. EDT",38953,24615,32152,37226,84630,81829,12508,44885,16281,27187,18116,19181,58181
US48,"9/15/2023 11 p.m. EDT",38918,22905,30987,34814,80841,78212,11635,43360,15417,25779,17207,18106,56099
US48,"9/16/2023 12 a.m. EDT",38342,21234,29586,32306,77358,74329,10765,41644,14525,24233,16222,16856,53576
US48,"9/16/2023 1 a.m. EDT",36913,19765,27953,29861,74099,70787,10125,39239,13780,22634,15261,15801,50865
US48,"9/16/2023 2 a.m. EDT",35412,18715,26606,27938,71076,67869,9669,36910,13238,21578,14225,14991,48090
US48,"9/16/2023 3 a.m. EDT",33365,18073,25758,26530,69168,65367,9394,34637,12883,21047,13299,14315,45949
US48,"9/16/2023 4 a.m. EDT",31602,17658,25063,25577,68179,63988,9254,32888,12672,20820,12529,13860,44419
