name;datetime;;temp;windspeed;solarradiation;solarenergy;uvindex;severerisk;conditions;icon;stations
new york;15/09/2023;00:00:00;19.3;12.9;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;01:00:00;18.3;20.2;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;02:00:00;17.8;15;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;03:00:00;17.1;16.7;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;04:00:00;16.6;12.7;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;05:00:00;16.6;7.7;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;06:00:00;16.1;7.7;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;07:00:00;16;7.8;12;0;0;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;08:00:00;16;9.6;25;0.1;0;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;09:00:00;16.1;7.9;72;0.3;1;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;10:00:00;17.7;11.2;642;2.3;6;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;11:00:00;18.2;11.3;279;1;3;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;12:00:00;19.3;5.9;626;2.3;6;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;13:00:00;21;13.1;842;3;8;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;14:00:00;21.5;5.9;761;2.7;8;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;15:00:00;22.1;18.4;427;1.5;4;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;16:00:00;22.7;0.9;269;1;3;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;17:00:00;21.6;13.2;178;0.6;2;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;18:00:00;22;9.7;106;0.4;1;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;19:00:00;21;11.4;5;0;0;10;Clear;clear-day;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
new york;15/09/2023;20:00:00;19.3;5.8;0;0;0;10;Clear;clear-night;72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732
